Gene_ID	GO_Terms
AT1G02810	['GO:0004857', 'GO:0030599']
AT1G02840	['GO:0003729', 'GO:0005515']
AT1G02850	['GO:0008422']
AT1G02860	['GO:0004842', 'GO:0005515']
AT1G02880	['GO:0004788', 'GO:0030975']
AT1G02890	['GO:0005524', 'GO:0016887']
AT1G02900	['GO:0005179', 'GO:0005515']
AT1G02920	['GO:0004364', 'GO:0005507', 'GO:0043295', 'GO:0050897']
AT1G02930	['GO:0004364', 'GO:0005507', 'GO:0043295', 'GO:0050897', 'GO:2001147', 'GO:2001227']
AT1G02940	['GO:0004364']
AT1G02950	['GO:0004364']
AT1G02970	['GO:0004672', 'GO:0004715', 'GO:0005515']
AT1G02980	['GO:0005515', 'GO:0031625']
AT1G03000	['GO:0005515', 'GO:0016887']
AT1G03020	['GO:0005515']
AT1G03030	['GO:0005524', 'GO:0016301']
AT1G03040	['GO:0003700', 'GO:0005515', 'GO:0046983']
AT1G03050	['GO:0005545', 'GO:0030276']
AT1G03055	['GO:0005506', 'GO:0106365']
AT1G03060	['GO:0005515']
AT1G03070	['GO:0016595']
AT1G03080	['GO:0003779']
AT1G03090	['GO:0004485', 'GO:0050897']
AT1G03130	['GO:0003729', 'GO:0005515']
AT1G03150	['GO:0016747']
AT1G03160	['GO:0005525']
AT1G03180	['GO:0005515']
AT1G03190	['GO:0003678', 'GO:0005515']
AT1G03210	['GO:0003824']
AT1G03220	['GO:0004190']
AT1G03230	['GO:0004190']
AT1G03250	['GO:0003676']
AT1G03310	['GO:0019156']
AT1G03330	['GO:0005515']
AT1G03400	['GO:0009815']
AT1G03430	['GO:0009927', 'GO:0043424']
AT1G03445	['GO:0004722', 'GO:0005515', 'GO:0017018']
AT1G03457	['GO:0003729', 'GO:0005515']
AT1G03470	['GO:0003779']
AT1G03475	['GO:0004109', 'GO:0042803']
AT1G03490	['GO:0003700']
AT1G03510	['GO:0003723']
AT1G03515	['GO:0030533']
AT1G03520	['GO:0015020', 'GO:0016757']
AT1G03530	['GO:0003723']
AT1G03540	['GO:0003723']
AT1G03570	['GO:0030533']
AT1G03590	['GO:0017018']
AT1G03630	['GO:0003959', 'GO:0005515', 'GO:0016630']
AT1G03640	['GO:0030533']
AT1G03650	['GO:0016747']
AT1G03680	['GO:0004857', 'GO:0005515', 'GO:0008047', 'GO:0015035', 'GO:1901149']
AT1G03687	['GO:0016432']
AT1G03750	['GO:0140658']
AT1G03760	['GO:0005515']
AT1G03770	['GO:0005515']
AT1G03780	['GO:0005515', 'GO:0008017']
AT1G03790	['GO:0003700', 'GO:0005515']
AT1G03800	['GO:0000976', 'GO:0003677', 'GO:0003700', 'GO:0005515']
AT1G03830	['GO:0003682', 'GO:0003924', 'GO:0005525']
AT1G03840	['GO:0000976', 'GO:0003700', 'GO:0005515', 'GO:0043565']
AT1G03850	['GO:0005515']
AT1G03860	['GO:0005515']
AT1G03880	['GO:0045735']
AT1G03890	['GO:0045735']
AT1G03900	['GO:0005515', 'GO:0042626']
AT1G03905	['GO:0016887']
AT1G03910	['GO:0005515']
AT1G03920	['GO:0004674', 'GO:0005515', 'GO:0016301']
AT1G03930	['GO:0004674', 'GO:0004712']
AT1G03960	['GO:0005509']
AT1G03970	['GO:0000976', 'GO:0003677', 'GO:0003700', 'GO:0005515', 'GO:0043565']
AT1G03980	['GO:0016756']
AT1G03990	['GO:0046577', 'GO:0050660']
AT1G04010	['GO:0004607', 'GO:0016747', 'GO:0080095', 'GO:0080096']
AT1G04020	['GO:0003677']
AT1G04040	['GO:0003993']
AT1G04050	['GO:0005515', 'GO:0008270', 'GO:0042054', 'GO:0042802']
AT1G04070	['GO:0015450']
AT1G04080	['GO:0005515']
AT1G04100	['GO:0000976', 'GO:0003700', 'GO:0005515', 'GO:0042802']
AT1G04110	['GO:0004252']
AT1G04120	['GO:0008281', 'GO:0008559', 'GO:0016887', 'GO:0042626', 'GO:0140359']
AT1G04130	['GO:0051879']
AT1G04160	['GO:0003774', 'GO:0051015']
AT1G04170	['GO:0000049', 'GO:0003743', 'GO:0003924']
AT1G04180	['GO:0004499', 'GO:0050660', 'GO:0050661', 'GO:0103075']
AT1G04210	['GO:0004672', 'GO:0005524']
AT1G04220	['GO:0009922']
AT1G04240	['GO:0000976', 'GO:0003700', 'GO:0005515', 'GO:0042802']
AT1G04250	['GO:0003700', 'GO:0005515', 'GO:0042802']
AT1G04260	['GO:0005515']
AT1G04270	['GO:0003723', 'GO:0003729']
AT1G04280	['GO:0003951', 'GO:0005516']
AT1G04290	['GO:0047617']
AT1G04300	['GO:0005515']
AT1G04310	['GO:0000155', 'GO:0004673', 'GO:0004674', 'GO:0005515', 'GO:0042802', 'GO:0051740']
AT1G04320	['GO:0030533']
AT1G04330	['GO:0005515']
AT1G04350	['GO:0016706']
AT1G04370	['GO:0000976', 'GO:0003700']
AT1G04380	['GO:0016706']
AT1G04400	['GO:0005515', 'GO:0005524', 'GO:0009882', 'GO:0042802', 'GO:0042803', 'GO:0071949']
AT1G04410	['GO:0003729', 'GO:0005515', 'GO:0030060']
AT1G04440	['GO:0004674']
AT1G04445	['GO:0005515']
AT1G04450	['GO:0005515']
AT1G04480	['GO:0003729']
AT1G04510	['GO:0061630']
AT1G04550	['GO:0000976', 'GO:0003700', 'GO:0005515', 'GO:0042802']
AT1G04580	['GO:0004031', 'GO:0005506', 'GO:0018479', 'GO:0018488', 'GO:0050302', 'GO:0071949']
AT1G04600	['GO:0003774']
AT1G04610	['GO:0004499', 'GO:0050660', 'GO:0050661', 'GO:0103075']
AT1G04620	['GO:0090415']
AT1G04625	['GO:0003676', 'GO:0004523']
AT1G04635	['GO:0004526', 'GO:0005515', 'GO:0033204']
AT1G04640	['GO:0017118', 'GO:0033819']
AT1G04650	['GO:0005515']
AT1G04680	['GO:0016829', 'GO:0030570']
AT1G04700	['GO:0004712']
AT1G04710	['GO:0003988', 'GO:0005515']
AT1G04720	['GO:0030533']
AT1G04730	['GO:0016887']
AT1G04750	['GO:0005515']
AT1G04760	['GO:0000149']
AT1G04810	['GO:0030234']
AT1G04820	['GO:0003729', 'GO:0005200']
AT1G04840	['GO:0008270']
AT1G04860	['GO:0004843', 'GO:0008270']
AT1G04870	['GO:0016274', 'GO:0035241', 'GO:0035242', 'GO:0044020']
AT1G04880	['GO:0000400', 'GO:0000976', 'GO:0003700', 'GO:0008134']
AT1G04900	['GO:0035243']
AT1G04910	['GO:0016757']
AT1G04920	['GO:0016157', 'GO:0016757', 'GO:0046524']
AT1G04930	['GO:0005515']
AT1G04940	['GO:0005515', 'GO:0008320']
AT1G04950	['GO:0005515', 'GO:0016251', 'GO:0046982']
AT1G04970	['GO:0001530', 'GO:0008289']
AT1G04980	['GO:0003756']
AT1G04990	['GO:0003729']
AT1G05000	['GO:0004725', 'GO:0016791', 'GO:0052845']
AT1G05010	['GO:0009815']
AT1G05020	['GO:0005515', 'GO:0005545', 'GO:0030276']
AT1G05030	['GO:0015144', 'GO:0022857']
AT1G05055	['GO:0008270']
AT1G05065	['GO:0033612']
AT1G05100	['GO:0004672', 'GO:0004674', 'GO:0004709', 'GO:0005515', 'GO:0019901']
AT1G05120	['GO:0140658']
AT1G05140	['GO:0004222']
AT1G05150	['GO:0005509', 'GO:0016757']
AT1G05160	['GO:0005506', 'GO:0020037', 'GO:0051777']
AT1G05170	['GO:0016757', 'GO:0016758']
AT1G05180	['GO:0005515', 'GO:0008641', 'GO:0019781']
AT1G05190	['GO:0003729', 'GO:0003735']
AT1G05200	['GO:0005217', 'GO:0005262', 'GO:0005515', 'GO:0008066', 'GO:0015276']
AT1G05230	['GO:0000976', 'GO:0000981', 'GO:0003700', 'GO:0005515', 'GO:0008289']
AT1G05240	['GO:0020037', 'GO:0140825']
AT1G05250	['GO:0004601', 'GO:0020037', 'GO:0140825']
AT1G05260	['GO:0004601', 'GO:0020037', 'GO:0140825']
AT1G05270	['GO:0005515', 'GO:0140474']
AT1G05280	['GO:0016757']
AT1G05290	['GO:0003700']
AT1G05300	['GO:0005385', 'GO:0046873']
AT1G05310	['GO:0030599']
AT1G05340	['GO:0005515']
AT1G05350	['GO:0008641']
AT1G05380	['GO:0000976']
AT1G05390	['GO:0030533']
AT1G05410	['GO:0005515']
AT1G05460	['GO:0003723', 'GO:0003724', 'GO:0005515', 'GO:0032574']
AT1G05470	['GO:0004439', 'GO:0004445', 'GO:0005515', 'GO:0034485', 'GO:0046030']
AT1G05490	['GO:0140658']
AT1G05500	['GO:0005515']
AT1G05510	['GO:0005515']
AT1G05520	['GO:0005515', 'GO:0008270']
AT1G05530	['GO:0010294', 'GO:0016757', 'GO:0035251', 'GO:0047215']
AT1G05560	['GO:0005515', 'GO:0008194', 'GO:0010294', 'GO:0016757', 'GO:0035251', 'GO:0047215', 'GO:0080002']
AT1G05570	['GO:0003843', 'GO:0016757']
AT1G05577	['GO:0005515', 'GO:0042803']
AT1G05580	['GO:0015385']
AT1G05590	['GO:0004563', 'GO:0015929', 'GO:0035251']
AT1G05610	['GO:0008878']
AT1G05620	['GO:0005515', 'GO:0008477', 'GO:0035251', 'GO:0045437', 'GO:0046982', 'GO:0047724']
AT1G05630	['GO:0004445', 'GO:0016791', 'GO:0052658', 'GO:0052659']
AT1G05650	['GO:0004650']
AT1G05660	['GO:0004650']
AT1G05670	['GO:0016757']
AT1G05680	['GO:0016757', 'GO:0035251', 'GO:0052638']
AT1G05690	['GO:0005516']
AT1G05700	['GO:0004672', 'GO:0004674', 'GO:0005515', 'GO:0016301']
AT1G05710	['GO:0003700', 'GO:0005515', 'GO:0046983']
AT1G05750	['GO:0005515']
AT1G05760	['GO:0005515', 'GO:0030246']
AT1G05800	['GO:0008970', 'GO:0047714', 'GO:0052739']
AT1G05805	['GO:0000976', 'GO:0003700', 'GO:0005515', 'GO:0046983']
AT1G05810	['GO:0003924', 'GO:0005525']
AT1G05820	['GO:0042500']
AT1G05830	['GO:0042800', 'GO:0140946']
AT1G05850	['GO:0030247']
AT1G05880	['GO:0004842', 'GO:0008270']
AT1G05890	['GO:0004842', 'GO:0008270']
AT1G05900	['GO:0003906', 'GO:0019104', 'GO:0140078']
AT1G05910	['GO:0005515', 'GO:0016887', 'GO:0042393']
AT1G05940	['GO:0015174', 'GO:0022857']
AT1G05970	['GO:0005515', 'GO:0035064']
AT1G05980	['GO:0030533']
AT1G05990	['GO:0005509']
AT1G06000	['GO:0008194', 'GO:0016757']
AT1G06020	['GO:0008865']
AT1G06030	['GO:0008865']
AT1G06040	['GO:0003677', 'GO:0003700', 'GO:0003712', 'GO:0005515', 'GO:0008270']
AT1G06070	['GO:0000976', 'GO:0003700']
AT1G06080	['GO:0016717']
AT1G06090	['GO:0016717']
AT1G06100	['GO:0016717']
AT1G06110	['GO:0005515']
AT1G06120	['GO:0016717']
AT1G06130	['GO:0004416']
AT1G06135	['GO:0005102', 'GO:0005179']
AT1G06137	['GO:0005179']
AT1G06150	['GO:0003700', 'GO:0046983']
AT1G06160	['GO:0003677', 'GO:0003700']
AT1G06170	['GO:0003700', 'GO:0005515', 'GO:0046983', 'GO:0070888']
AT1G06180	['GO:0000976', 'GO:0003700', 'GO:0005515']
AT1G06190	['GO:0003729', 'GO:0005515', 'GO:0019843']
AT1G06200	['GO:0004252']
AT1G06210	['GO:0035091', 'GO:0043130']
AT1G06220	['GO:0003924', 'GO:0005515']
AT1G06225	['GO:0033612']
AT1G06230	['GO:1990837']
AT1G06233	['GO:0019843']
AT1G06250	['GO:0008970']
AT1G06280	['GO:0001216']
AT1G06290	['GO:0003997', 'GO:0071949']
AT1G06310	['GO:0003997', 'GO:0071949']
AT1G06350	['GO:0016717']
AT1G06360	['GO:0016215', 'GO:0016717']
AT1G06390	['GO:0004674', 'GO:0005515']
AT1G06400	['GO:0003924', 'GO:0005515', 'GO:0005525']
AT1G06410	['GO:0016757']
AT1G06430	['GO:0004176', 'GO:0004222', 'GO:0008270', 'GO:0016887']
AT1G06440	['GO:0003723']
AT1G06450	['GO:0004535']
AT1G06480	['GO:0030533']
AT1G06490	['GO:0003843', 'GO:0016757']
AT1G06510	['GO:0005515']
AT1G06515	['GO:0044877']
AT1G06520	['GO:0004366', 'GO:0090447']
AT1G06530	['GO:0005515']
AT1G06550	['GO:0003860']
AT1G06560	['GO:0008173']
AT1G06570	['GO:0003868', 'GO:0005506', 'GO:0042802']
AT1G06590	['GO:0005515']
AT1G06610	['GO:0030533']
AT1G06620	['GO:0016706']
AT1G06640	['GO:0016706']
AT1G06650	['GO:0016706']
AT1G06670	['GO:0003677', 'GO:0003678', 'GO:0003724']
AT1G06680	['GO:0003729', 'GO:0005509', 'GO:0008266', 'GO:1901149']
AT1G06700	['GO:0004715', 'GO:0019901']
AT1G06710	['GO:0003729']
AT1G06720	['GO:0005525']
AT1G06730	['GO:0019206']
AT1G06740	['GO:0008270']
AT1G06750	['GO:0016301']
AT1G06760	['GO:0030527']
AT1G06770	['GO:0004842', 'GO:0005515']
AT1G06780	['GO:0016757', 'GO:0047262']
AT1G06800	['GO:0004806', 'GO:0008970', 'GO:0047714']
AT1G06820	['GO:0016491', 'GO:0046608']
AT1G06830	['GO:0005515']
AT1G06840	['GO:0004674', 'GO:0005515']
AT1G06850	['GO:0000976', 'GO:0003700', 'GO:0005515', 'GO:0031490']
AT1G06860	['GO:0030533']
AT1G06870	['GO:0004252']
AT1G06880	['GO:0030533']
AT1G06890	['GO:0005464', 'GO:0015297']
AT1G06900	['GO:0004222']
AT1G06920	['GO:0003677']
AT1G06950	['GO:0005515']
AT1G06970	['GO:0015385']
AT1G06990	['GO:0016788']
AT1G07000	['GO:0005515', 'GO:0005546']
AT1G07010	['GO:0016787', 'GO:0016791', 'GO:0030145']
AT1G07030	['GO:0005381']
AT1G07060	['GO:0005515']
AT1G07070	['GO:0003729']
AT1G07080	['GO:0016671']
AT1G07100	['GO:0030533']
AT1G07110	['GO:0003873', 'GO:0004331', 'GO:2001070']
AT1G07120	['GO:0008017']
AT1G07130	['GO:0005515']
AT1G07150	['GO:0004672']
AT1G07160	['GO:0017018']
AT1G07180	['GO:0003954', 'GO:0003959', 'GO:0016491']
AT1G07200	['GO:0005515', 'GO:0005524', 'GO:0016887']
AT1G07210	['GO:0003729', 'GO:0003735', 'GO:0005515']
AT1G07240	['GO:0010294', 'GO:0016757', 'GO:0080043']
AT1G07250	['GO:0016757', 'GO:0033836', 'GO:0035251', 'GO:0047893', 'GO:0080043', 'GO:0080044']
AT1G07260	['GO:0004134', 'GO:0016757', 'GO:0080043']
AT1G07270	['GO:0005515', 'GO:0016887']
AT1G07290	['GO:0005338']
AT1G07320	['GO:0003729', 'GO:0003735', 'GO:0008266']
AT1G07340	['GO:0005515', 'GO:0015144', 'GO:0015145']
AT1G07350	['GO:0003723', 'GO:0005515']
AT1G07360	['GO:0003729', 'GO:0005515']
