COMP_GENE_A	COMP_GENE_B
AT3G57430	AT1G12470
AT1G20230	AT3G59770
AT1G20230	AT5G52630
AT1G16480	AT5G15280
AT1G16480	AT3G06810
AT5G09950	AT3G52570
AT5G09950	AT1G03160
AT3G02010	AT4G10650
AT3G02010	AT1G31160
AT3G02010	AT3G05000
AT3G02010	AT5G19020
AT3G13770	AT1G53270
AT3G13770	AT3G63500
AT3G13770	AT1G80080
AT3G49170	AT1G18270
AT2G27610	AT2G37310
AT2G03880	AT3G03220
AT2G03880	AT2G15570
AT2G03880	AT3G27090
AT2G03880	AT1G73620
AT2G03880	AT1G77360
AT2G03880	AT4G37650
AT2G03880	AT2G30300
AT2G03880	AT5G19930
AT2G03880	AT2G27090
AT2G03880	AT5G03555
AT2G03880	AT3G10370
AT2G03880	AT4G20940
AT2G03880	AT4G03210
AT2G03880	AT1G24040
AT2G03880	AT1G03687
AT2G03880	AT3G61360
AT2G03880	AT2G28910
AT2G03880	AT3G12030
AT2G03880	AT2G34510
AT2G03880	AT1G73930
AT2G03880	AT3G49900
AT2G03880	AT5G02820
AT2G03880	AT5G48170
AT2G03880	AT3G23360
AT5G04780	AT1G29890
AT5G04780	AT1G75500
AT5G04780	AT2G40930
AT5G04780	AT4G35060
AT5G04780	AT5G07720
AT5G04780	AT5G15440
AT5G04780	AT4G13400
AT5G04780	AT4G32650
AT5G04780	AT2G01860
AT5G04780	AT3G45020
AT5G04780	AT5G45120
AT4G14850	AT5G15570
AT4G14850	AT5G15100
AT4G14850	AT3G57340
AT4G14850	AT3G03380
AT4G14850	AT2G35030
AT5G16860	AT1G74680
AT5G16860	AT5G02040
AT5G16860	AT1G44900
AT4G18750	AT4G38190
AT3G49142	AT5G46920
AT3G49142	AT4G38070
AT3G49142	AT3G19090
AT3G49142	AT4G14965
AT3G49142	AT1G20300
AT3G49142	AT4G16835
AT3G49142	AT1G52640
AT3G16610	AT1G77210
AT3G16610	AT1G61670
AT3G16610	AT1G08830
AT3G16610	AT2G23070
AT3G16610	AT1G78980
AT3G16610	AT4G30430
AT3G16610	AT3G25040
AT3G16610	AT1G26300
AT3G16610	AT3G21430
AT3G16610	AT5G48030
AT3G16610	AT1G09795
AT3G16610	AT2G31030
AT3G16610	AT1G31940
AT3G16610	AT5G21100
AT3G16610	AT3G60500
AT3G16610	AT4G32130
AT3G16610	AT3G51870
AT3G16610	AT4G34090
AT3G16610	AT1G71110
AT3G16610	AT5G20930
AT3G16610	AT2G40000
AT3G16610	AT5G16420
AT3G16610	AT5G10910
AT3G16610	AT3G12350
AT3G16610	AT2G15230
AT3G16610	AT1G76400
AT3G16610	AT1G24340
AT3G16610	AT2G43980
AT3G16610	AT5G39940
AT3G16610	AT1G49350
AT3G16610	AT5G61140
AT3G16610	AT3G03210
AT3G16610	AT3G10390
AT3G16610	AT3G45890
AT3G16610	AT1G54650
AT3G16610	AT4G33060
AT3G16610	AT2G44420
AT3G16610	AT1G79760
AT3G16610	AT5G08710
AT3G16610	AT3G13170
AT3G16610	AT5G27560
AT3G16610	AT3G11460
AT3G16610	AT3G42725
AT3G16610	AT3G49740
AT3G25060	AT4G34100
AT3G25060	AT5G53620
AT3G25060	AT3G02870
AT3G25060	AT1G14850
AT3G25060	AT3G03320
AT3G25060	AT5G47380
AT3G25060	AT1G79915
AT3G25060	AT1G16540
AT3G25060	AT5G52030
AT3G25060	AT5G20220
AT3G25060	AT1G28140
AT3G25060	AT1G47840
AT3G12770	AT4G11610
AT3G12770	AT3G63200
AT3G12770	AT5G38895
AT3G12770	AT2G03720
AT3G12770	AT3G49730
AT3G12770	AT4G01730
AT3G12770	AT1G11915
AT2G33760	AT2G18890
