COMP_GENE_A	COMP_GENE_B
AT5G24318	AT1G66520
AT5G24318	AT4G39960
AT5G24318	AT3G59800
AT5G24318	AT2G43720
AT5G24318	AT1G18830
AT5G24318	AT3G03500
AT5G24318	AT5G37475
AT5G24318	AT3G09960
AT5G24318	AT1G30510
AT5G24318	AT5G56090
AT5G24318	AT1G14570
AT5G24318	AT4G37210
AT5G24318	AT2G02765
AT5G24318	AT2G30410
AT5G24318	AT1G80360
AT5G24318	AT3G47840
AT5G24318	AT5G22770
AT5G24318	AT3G13940
AT5G24318	AT5G53620
AT5G24318	AT3G23980
AT5G24318	AT5G18570
AT5G24318	AT3G46210
AT5G24318	AT1G68660
AT5G24318	AT5G04420
AT5G24318	AT5G13520
AT5G24318	AT5G65274
AT5G24318	AT3G44620
AT5G24318	AT3G16010
AT5G24318	AT5G26240
AT5G24318	AT4G13670
AT5G24318	AT5G38720
AT5G24318	AT2G48000
AT5G24318	AT1G66510
AT5G24318	AT1G15960
AT5G24318	AT5G47570
AT5G24318	AT2G17695
AT5G24318	AT2G34860
AT5G24318	AT5G50100
AT5G24318	AT5G44000
AT5G24318	AT5G25580
AT5G24318	AT5G06590
AT5G24318	AT1G35660
AT5G24318	AT1G67680
AT5G24318	AT1G79915
AT5G24318	AT1G16540
AT5G24318	AT3G06960
AT5G24318	AT1G49880
AT5G24318	AT2G02570
AT5G24318	AT5G42970
AT5G24318	AT3G10060
AT5G24318	AT2G36730
AT5G24318	AT5G52180
AT5G24318	AT1G71310
AT5G24318	AT1G51080
AT5G24318	AT5G42850
AT5G24318	AT1G56090
AT5G24318	AT3G56010
AT5G24318	AT2G44360
AT5G24318	AT1G28140
AT5G24318	AT4G22600
AT5G24318	AT4G38640
AT5G66150	AT4G25580
AT5G66150	AT5G24352
AT5G66150	AT3G04600
AT5G66150	AT1G71990
AT5G66150	AT1G13630
AT1G48100	AT5G57100
AT1G48100	AT1G36020
AT1G48100	AT5G37370
AT1G48100	AT1G08380
AT1G48100	AT1G67700
AT1G48100	AT4G28740
AT1G48100	AT1G08530
AT1G48100	AT1G10550
AT1G02460	AT1G67220
AT1G02460	AT1G19520
AT1G02460	AT5G43750
AT1G02460	AT4G11440
AT1G02460	AT3G16890
AT1G02460	AT2G41530
AT1G02460	AT2G35030
AT4G24350	AT3G06550
AT4G24350	AT1G11840
AT4G24350	AT2G35880
AT4G24350	AT5G37680
AT4G24350	AT1G14780
AT4G24350	AT3G49660
AT4G24350	AT1G11430
AT4G24350	AT1G64650
AT4G24350	AT1G06470
AT4G24350	AT3G25950
AT4G24350	AT5G11520
AT4G24350	AT3G08710
AT4G24350	AT5G66010
AT4G24350	AT4G13270
AT4G24350	AT3G48530
AT4G24350	AT1G52900
AT4G24350	AT2G16660
AT4G24350	AT5G16560
AT4G24350	AT5G47740
AT4G24350	AT5G02970
AT4G24350	AT2G47840
AT4G24350	AT1G22660
AT4G24350	AT5G40670
AT4G24350	AT5G61830
AT4G24350	AT3G01910
AT4G24350	AT4G02715
AT4G24350	AT2G34040
AT4G24350	AT2G14110
AT4G24350	AT2G20270
AT4G24350	AT1G74030
AT4G24350	AT5G52840
AT4G24350	AT2G47790
AT4G24350	AT3G59090
AT4G24350	AT2G35100
AT4G24350	AT4G19180
AT4G24350	AT4G09750
AT4G24350	AT3G06470
AT4G24350	AT2G19340
AT4G24350	AT5G63620
AT4G24350	AT1G18265
AT4G24350	AT4G10050
AT4G24350	AT1G27530
AT4G24350	AT4G30950
AT4G24350	AT3G47630
AT4G24350	AT3G54010
AT4G24350	AT1G21480
AT4G24350	AT2G27590
AT4G24350	AT5G19680
AT4G24350	AT2G25950
AT4G24350	AT4G20310
AT4G24350	AT1G49870
AT4G24350	AT4G19190
AT4G24350	AT4G22550
AT4G24350	AT4G26310
AT4G24350	AT2G39470
AT4G24350	AT1G49430
AT4G24350	AT1G33290
AT4G24350	AT5G08060
AT4G24350	AT1G01080
AT4G24350	AT4G14870
AT3G27870	AT1G64310
AT2G03200	AT1G71260
AT2G03200	AT5G25320
AT2G03200	AT3G57420
AT2G03200	AT1G79820
AT2G03200	AT3G60820
AT2G03200	AT5G20930
AT2G03200	AT2G19880
AT2G03200	AT4G21520
AT2G03200	AT3G09150
AT2G03200	AT2G01320
AT2G03200	AT5G14530
AT2G03200	AT3G56330
AT2G03200	AT5G08710
AT2G03200	AT2G21710
AT2G03200	AT3G49650
AT2G03200	AT5G19970
AT2G03200	AT5G43180
AT5G59750	AT5G04740
AT5G59750	AT4G38430
AT5G59750	AT4G17650
AT5G59750	AT3G29185
AT3G51830	AT4G16070
AT2G17230	AT5G50180
AT2G17230	AT4G12240
AT2G17230	AT4G36850
AT2G17230	AT1G48880
AT2G17230	AT1G13700
AT2G17230	AT1G62981
AT2G17230	AT1G19630
AT2G17230	AT3G16250
AT2G17230	AT2G24970
AT2G17230	AT5G26960
AT2G35680	AT1G72440
AT4G25500	AT1G69370
AT4G25500	AT1G68920
AT4G25500	AT3G24860
AT4G25500	AT1G56300
AT4G25500	AT2G17950
AT4G25500	AT1G31160
AT4G25500	AT1G49330
AT4G25500	AT3G19980
AT4G25500	AT1G36020
AT4G25500	AT3G21140
AT4G25500	AT4G38800
AT4G25500	AT3G05420
AT4G25500	AT5G66220
AT4G25500	AT1G53000
AT4G25500	AT1G70210
AT4G25500	AT1G09060
AT4G25500	AT1G32080
AT4G25500	AT5G43750
AT4G25500	AT3G09430
AT4G25500	AT4G29070
AT4G25500	AT4G03150
AT4G25500	AT4G33420
AT4G25500	AT1G31360
AT4G25500	AT3G12940
AT4G25500	AT1G08530
AT4G25500	AT1G48280
AT4G25500	AT4G00467
AT5G57015	AT1G56300
AT5G57015	AT3G56490
AT5G57015	AT3G10230
AT5G57015	AT4G38800
AT5G57015	AT3G62600
AT5G57015	AT1G70210
AT5G57015	AT2G34200
AT5G49360	AT4G28390
AT5G49360	AT1G75710
AT5G49360	AT1G15000
AT5G49360	AT3G12680
AT5G49360	AT4G04980
AT5G49360	AT3G15820
AT5G49360	AT4G26200
AT5G49360	AT5G39710
AT5G49360	AT5G40530
AT5G49360	AT5G20380
AT5G49360	AT1G70820
AT5G14590	AT5G18650
AT5G14590	AT1G52630
AT5G14590	AT4G34910
AT5G14590	AT2G38710
AT5G14590	AT2G04845
AT5G14590	AT3G10700
AT5G14590	AT3G54090
AT5G14590	AT2G25620
AT5G14590	AT5G37530
AT5G14590	AT4G18460
AT5G14590	AT4G26415
AT5G14590	AT5G26960
AT2G21120	AT4G39460
AT2G21120	AT5G07720
AT2G21120	AT2G24070
AT2G21120	AT3G19270
AT2G21120	AT2G27460
AT2G21120	AT3G24490
AT2G21120	AT5G13630
AT2G21120	AT1G64690
AT2G21120	AT3G51710
AT2G21120	AT1G27520
AT2G21120	AT5G45120
AT2G21120	AT1G48460
AT5G45550	AT3G18380
AT5G45550	AT4G23950
AT5G45550	AT2G44970
AT5G45550	AT2G10553
AT5G45550	AT3G56490
AT5G45550	AT5G43530
AT5G45550	AT3G12070
AT5G45550	AT1G58120
AT5G45550	AT5G60700
AT5G45550	AT4G16060
AT5G45550	AT1G60490
AT5G45550	AT5G11900
AT5G45550	AT3G20630
AT5G45550	AT2G30710
AT5G45550	AT2G34200
AT5G45550	AT5G49970
AT5G45550	AT1G06440
AT5G45550	AT5G11550
AT5G45550	AT1G09157
AT5G45550	AT5G21430
AT5G45550	AT3G04550
AT5G45550	AT2G15020
AT5G45550	AT5G03910
AT5G45550	AT2G47450
AT4G35785	AT3G18200
AT4G35785	AT4G06598
AT4G35785	AT4G22220
AT4G35785	AT3G08570
AT4G35785	AT1G22170
AT4G35785	AT3G11720
AT4G35785	AT1G06720
AT4G35785	AT3G58740
AT4G35785	AT5G01450
AT4G35785	AT3G02900
AT4G35785	AT3G61440
AT4G35785	AT1G05430
AT4G35785	AT5G65685
AT4G35785	AT1G78450
AT4G35785	AT2G36420
AT1G07350	AT3G55140
AT1G07350	AT1G16340
AT1G07350	AT1G53860
AT1G07350	AT5G37290
AT1G07350	AT4G33410
AT1G07350	AT3G06960
AT4G28390	AT4G24380
AT4G28390	AT4G04020
AT4G28390	AT1G49010
AT4G28390	AT1G77250
AT4G28390	AT5G67030
AT4G28390	AT5G64330
AT4G28390	AT5G39710
AT4G28390	AT1G69400
AT4G28390	AT4G13150
AT4G28390	AT5G20380
AT4G28390	AT5G51570
AT5G37710	AT4G35080
AT5G37710	AT4G29960
AT5G37710	AT2G19790
AT3G59550	AT4G29210
AT3G59550	AT5G19400
AT3G59550	AT1G71250
AT3G59550	AT5G23120
AT5G16270	AT4G26450
AT5G16270	AT1G18580
AT5G16270	AT5G26610
AT1G05520	AT3G17365
AT1G05520	AT4G22920
AT1G05520	AT1G69380
AT1G05520	AT1G33480
AT1G05520	AT2G20270
AT1G05520	AT5G60340
AT1G05520	AT3G24080
AT1G05520	AT5G46280
AT1G04430	AT3G15010
AT1G04430	AT3G59870
AT1G04430	AT5G66770
AT1G04430	AT3G16760
AT1G04430	AT1G50430
AT1G04430	AT1G34640
AT2G01140	AT2G30695
AT2G01140	AT2G25110
AT2G01140	AT4G29680
AT2G01140	AT1G25420
AT2G01140	AT1G51730
AT2G01140	AT3G20390
AT2G01140	AT2G42770
AT2G01140	AT5G58740
AT2G01140	AT4G35740
AT2G01140	AT2G24090
AT2G01140	AT1G06240
AT2G01140	AT5G17630
AT5G53350	AT1G79640
AT5G53350	AT5G44680
AT5G53350	AT4G29790
AT5G53350	AT1G22980
AT5G53350	AT2G31290
AT5G53350	AT1G34000
AT5G53350	AT4G18465
AT5G53350	AT4G14310
AT5G53350	AT4G30840
AT5G53350	AT3G28460
AT5G53350	AT2G35900
AT5G53350	AT2G44020
AT5G53350	AT5G37480
AT5G53350	AT2G42560
AT5G53350	AT1G23390
AT5G53350	AT1G02290
AT5G49840	AT5G63930
AT5G49840	AT1G59610
AT5G49840	AT1G02270
AT5G49840	AT5G24740
AT5G49840	AT2G47240
AT5G49840	AT4G39820
AT5G49840	AT1G70610
AT5G49840	AT5G13530
AT5G49840	AT5G42310
AT5G49840	AT3G06880
AT5G49840	AT5G22010
AT5G49840	AT1G59990
AT5G49840	AT1G72030
AT5G49840	AT1G67720
AT3G05545	AT2G02400
AT3G05545	AT5G64330
AT3G49070	AT3G25680
AT3G49070	AT5G51170
AT1G20180	AT2G35880
AT1G20180	AT1G75180
AT1G20180	AT5G49480
AT1G20180	AT3G60680
AT1G20180	AT5G62840
AT1G20180	AT5G53730
AT5G07460	AT3G17880
AT5G07460	AT5G61240
AT5G07460	AT3G29130
AT5G07460	AT1G30950
AT1G74680	AT3G63530
AT1G74680	AT1G77360
AT1G74680	AT3G61415
AT1G74680	AT1G29770
AT1G74680	AT1G50300
AT1G74680	AT2G14260
AT1G74680	AT4G01660
AT1G74680	AT3G56840
AT1G74680	AT1G14140
AT1G74680	AT5G40840
AT1G74680	AT4G00030
AT1G74680	AT1G74580
AT1G74680	AT3G27420
AT3G54850	AT5G04250
AT3G54850	AT5G41470
AT3G54850	AT3G19460
AT3G54850	AT4G34850
AT3G54850	AT5G60210
AT3G54850	AT2G45060
AT3G54850	AT1G71180
AT3G54850	AT5G66210
AT3G54850	AT5G41050
AT3G54850	AT5G23540
AT3G54850	AT1G79820
AT3G54850	AT5G50440
AT3G54850	AT1G31940
AT3G54850	AT2G46230
AT3G54850	AT3G48460
AT3G54850	AT5G20930
AT3G54850	AT4G02090
AT3G54850	AT4G21520
AT3G54850	AT4G33350
AT3G54850	AT4G34360
AT3G54850	AT3G19720
AT3G54850	AT1G28120
AT3G54850	AT3G08780
AT3G54850	AT5G05310
AT3G54850	AT1G09740
AT3G54850	AT3G09150
AT3G54850	AT2G01320
AT3G54850	AT5G64670
AT3G54850	AT1G49350
AT3G54850	AT1G51110
AT3G54850	AT1G54650
AT3G54850	AT3G55250
AT3G54850	AT5G46100
AT3G54850	AT1G79760
AT3G54850	AT2G36980
AT3G54850	AT5G08710
AT3G54850	AT5G27560
AT3G54850	AT5G59610
AT3G54850	AT1G07645
AT3G54850	AT2G46850
AT3G54850	AT5G58575
AT3G54850	AT3G49650
AT3G54850	AT5G19970
AT3G54850	AT3G55820
AT4G35790	AT4G14147
AT4G35790	AT4G33420
AT5G63550	AT3G45190
AT5G63550	AT4G30000
AT5G63550	AT5G48170
AT5G63550	AT5G53730
AT4G26630	AT2G29430
AT5G56040	AT5G04250
AT5G56040	AT3G09010
AT5G56040	AT5G66210
AT5G56040	AT2G45720
AT5G56040	AT3G13230
AT5G56040	AT5G50440
AT5G56040	AT1G08130
AT5G56040	AT3G49620
AT5G56040	AT3G48460
AT5G56040	AT1G67710
AT5G56040	AT5G03080
AT5G56040	AT5G62190
AT5G56040	AT5G47830
AT5G56040	AT2G04660
AT5G56040	AT3G13450
AT5G56040	AT1G48175
AT5G56040	AT1G54650
AT5G56040	AT4G39120
AT5G56040	AT5G10460
AT5G56040	AT4G19985
AT5G56040	AT3G49650
AT5G56040	AT5G19970
AT5G56040	AT1G18030
AT1G69370	AT1G68920
AT1G69370	AT1G55610
AT1G69370	AT1G56300
AT1G69370	AT3G56490
AT1G69370	AT1G49330
AT1G69370	AT4G38800
AT1G69370	AT3G62600
AT1G69370	AT2G43235
AT1G69370	AT1G53000
AT1G69370	AT1G70210
AT1G69370	AT5G08280
AT1G69370	AT1G30380
AT1G69370	AT5G43750
AT1G69370	AT2G20635
AT1G69370	AT5G61540
AT1G69370	AT4G13150
AT1G69370	AT4G04190
AT1G69370	AT1G48130
AT1G69370	AT1G09157
AT1G69370	AT4G33420
AT4G10840	AT4G30850
AT4G10840	AT2G02400
AT4G10840	AT1G09750
AT4G10840	AT3G25140
AT4G10840	AT1G12880
AT4G10840	AT4G38250
AT4G10840	AT4G16820
AT4G10840	AT3G12370
AT4G10840	AT2G02810
AT4G10840	AT2G46300
AT4G10840	AT5G18410
AT4G10840	AT2G38550
AT4G10840	AT3G10670
AT4G10840	AT5G42310
AT4G10840	AT1G80550
AT4G10840	AT4G16210
AT4G10840	AT5G19620
AT4G10840	AT1G69910
AT4G10840	AT5G46100
AT4G10840	AT3G54690
AT4G10840	AT2G25950
AT4G10840	AT2G27430
AT4G10840	AT4G25080
AT4G10840	AT5G23940
AT4G10840	AT1G13040
AT4G10840	AT5G42655
AT4G10840	AT1G52640
AT4G10840	AT5G18390
AT4G10840	AT4G22370
AT3G27960	AT5G18820
AT3G27960	AT1G02400
AT3G27960	AT3G59670
AT3G27960	AT4G37650
AT3G27960	AT4G18130
AT3G27960	AT5G10890
AT3G27960	AT1G54360
AT3G27960	AT5G44680
AT3G27960	AT1G03380
AT3G27960	AT4G30935
AT3G27960	AT2G46830
AT3G27960	AT5G16790
AT3G27960	AT2G44065
AT3G27960	AT2G35790
AT3G27960	AT1G05150
AT3G27960	AT4G33300
AT3G27960	AT4G19670
AT3G27960	AT3G29185
AT3G27960	AT1G34220
AT3G27960	AT5G18700
AT3G27960	AT4G39920
AT3G27960	AT4G18465
AT3G27960	AT5G51510
AT3G27960	AT5G11580
AT3G27960	AT1G60770
AT3G27960	AT4G02030
AT3G27960	AT3G58520
AT3G27960	AT3G12210
AT3G27960	AT2G35900
AT3G27960	AT3G03750
AT3G27960	AT3G03680
AT3G27960	AT1G23390
AT3G27960	AT1G56570
AT3G27960	AT5G11380
AT3G25240	AT5G17710
AT3G25240	AT2G23985
AT5G45940	AT4G36720
AT5G45940	AT5G47180
AT5G45940	AT2G31190
AT5G45940	AT3G60590
AT5G45940	AT3G14890
AT5G45940	AT5G46420
AT5G45940	AT1G08460
AT5G45940	AT4G37480
AT5G45940	AT4G28830
AT5G45940	AT3G54290
AT5G45940	AT5G17660
AT5G45940	AT4G09620
AT5G45940	AT1G02060
AT5G45940	AT2G45530
AT5G11050	AT1G53860
AT5G11050	AT4G28230
AT5G11050	AT2G44640
AT5G65760	AT4G30430
AT5G65760	AT4G38050
AT5G65760	AT5G40650
AT5G65760	AT2G42910
AT5G65760	AT2G12646
AT5G65760	AT1G06050
AT5G65760	AT1G58370
AT5G65760	AT5G48030
AT5G65760	AT5G01210
AT5G65760	AT1G07620
AT5G65760	AT4G24320
AT5G65760	AT2G38960
AT5G65760	AT1G79470
AT5G65760	AT1G47270
AT5G65760	AT3G60500
AT5G65760	AT1G69390
AT5G65760	AT1G63050
AT5G65760	AT3G30775
AT5G65760	AT4G02720
AT5G65760	AT4G34090
AT5G65760	AT5G05560
AT5G65760	AT1G71820
AT5G65760	AT5G24740
AT5G65760	AT5G40480
AT5G65760	AT5G42390
AT5G65760	AT1G17040
AT5G65760	AT1G77620
AT5G65760	AT5G62600
AT5G65760	AT1G53200
AT5G65760	AT5G16420
AT5G65760	AT3G12530
AT5G65760	AT5G37510
AT5G65760	AT3G12350
AT5G65760	AT1G25570
AT5G65760	AT2G15230
AT5G65760	AT3G06880
AT5G65760	AT4G14310
AT5G65760	AT1G76400
AT5G65760	AT3G01380
AT5G65760	AT5G63920
AT5G65760	AT5G44635
AT5G65760	AT5G46840
AT5G65760	AT4G10760
AT5G65760	AT5G45660
AT5G65760	AT4G30840
AT5G65760	AT2G07690
AT5G65760	AT5G22010
AT5G65760	AT1G04200
AT5G65760	AT5G18830
AT5G65760	AT5G39960
AT5G65760	AT2G38500
AT5G65760	AT1G80190
AT5G65760	AT3G10915
AT5G65760	AT3G21580
AT5G65760	AT3G03210
AT5G65760	AT3G10390
AT5G65760	AT5G19350
AT5G65760	AT1G66345
AT5G65760	AT2G44420
AT5G65760	AT3G14370
AT5G65760	AT1G71460
AT5G65760	AT3G49890
AT5G65760	AT2G42560
AT5G65760	AT5G25500
AT2G24280	AT2G37690
AT2G28610	AT4G01690
AT3G49420	AT1G04960
AT3G49420	AT2G26400
AT3G49420	AT3G53990
AT3G49420	AT5G16930
AT3G49420	AT2G20530
AT3G49420	AT4G10380
AT3G49420	AT1G18080
AT3G49420	AT4G18880
AT3G49420	AT1G79880
AT3G49420	AT1G48160
AT3G49420	AT2G41490
AT3G49420	AT3G07700
AT3G49420	AT2G20825
AT3G49420	AT4G01510
AT3G49420	AT4G34430
AT3G49420	AT1G53860
AT3G49420	AT1G71800
AT3G49420	AT5G49880
AT3G49420	AT1G75150
AT3G49420	AT1G59560
AT3G49420	AT4G28230
AT3G49420	AT4G26750
AT3G49420	AT5G24680
AT3G49420	AT1G28100
AT3G49420	AT5G41360
AT3G49420	AT3G14890
AT3G49420	AT5G21930
AT3G49420	AT1G76080
AT3G49420	AT5G37290
AT3G49420	AT5G27830
AT3G49420	AT3G04710
AT3G49420	AT1G52530
AT3G49420	AT2G41020
AT3G49420	AT2G04620
AT3G49420	AT4G33410
AT3G49420	AT2G19340
AT3G49420	AT5G60870
AT3G49420	AT4G29490
AT3G49420	AT3G06050
AT3G49420	AT5G52180
AT3G49420	AT2G33610
AT3G49420	AT4G19150
AT3G49420	AT5G04910
AT3G49420	AT1G26550
AT3G49420	AT3G25210
AT3G49420	AT4G33925
AT3G49420	AT3G55820
AT3G49420	AT5G01670
AT3G49420	AT5G02770
AT3G49420	AT2G44640
AT3G49420	AT5G01590
AT1G47330	AT3G12180
AT1G47330	AT5G18820
AT1G47330	AT1G64650
AT1G47330	AT1G20880
AT1G47330	AT2G48110
AT1G47330	AT3G16830
AT1G47330	AT5G38900
AT1G47330	AT3G01800
AT1G47330	AT2G07690
AT1G47330	AT1G59990
AT1G47330	AT1G22700
AT1G47330	AT2G42710
AT4G33700	AT1G31240
AT4G33700	AT1G68050
AT4G33700	AT1G11940
AT4G33700	AT1G11790
AT4G33700	AT5G33320
AT4G33700	AT5G56580
AT4G33700	AT4G19410
AT4G33700	AT5G35790
AT4G33700	AT1G69330
AT4G33700	AT5G35370
AT4G33700	AT1G07420
AT4G33700	AT4G21110
AT4G33700	AT5G54810
AT4G33700	AT4G38070
AT4G33700	AT1G52343
AT4G33700	AT5G12190
AT4G33700	AT5G26940
AT4G33700	AT1G63050
AT4G33700	AT5G37370
AT4G33700	AT5G20650
AT4G33700	AT1G48300
AT4G33700	AT1G01180
AT4G33700	AT3G18060
AT4G33700	AT2G15240
AT4G33700	AT2G18850
AT4G33700	AT4G27120
AT4G33700	AT3G16760
AT4G33700	AT3G55330
AT4G33700	AT1G09150
AT4G33700	AT5G22370
AT4G33700	AT1G50430
AT4G33700	AT3G58460
AT4G33700	AT3G18580
AT4G33700	AT3G23255
AT4G33700	AT5G63310
AT4G33700	AT2G14660
AT4G33700	AT2G01755
AT1G15215	AT4G00330
AT1G15215	AT1G09750
AT1G15215	AT5G62710
AT1G15215	AT4G28100
AT1G15215	AT1G14780
AT1G15215	AT5G57380
AT1G15215	AT3G17880
AT1G15215	AT1G06470
AT1G15215	AT5G25450
AT1G15215	AT3G21730
AT1G15215	AT5G42150
AT1G15215	AT1G73160
AT1G15215	AT1G67370
AT1G15215	AT1G64660
AT1G15215	AT3G56950
AT1G15215	AT5G61240
AT1G15215	AT5G42360
AT1G15215	AT3G15240
AT1G15215	AT3G46550
AT1G15215	AT5G04670
AT1G15215	AT5G24810
AT1G15215	AT1G33480
AT1G15215	AT4G32250
AT1G15215	AT3G01435
AT1G15215	AT1G49970
AT1G15215	AT1G73430
AT1G15215	AT2G40840
AT1G15215	AT1G27070
AT1G15215	AT5G12320
AT1G15215	AT5G20050
AT1G15215	AT3G18524
AT1G15215	AT1G59840
AT1G15215	AT4G38150
AT1G15215	AT3G47630
AT1G15215	AT4G00560
AT1G15215	AT4G17550
AT1G15215	AT2G21970
AT1G15215	AT1G33810
AT1G15215	AT1G30950
AT1G15215	AT5G46580
AT1G15215	AT1G71810
AT1G15215	AT5G14770
AT3G18380	AT4G23950
AT3G18380	AT4G10650
AT3G18380	AT2G44970
AT3G18380	AT2G10553
AT3G18380	AT5G59520
AT3G18380	AT5G43530
AT3G18380	AT3G12070
AT3G18380	AT2G17350
AT3G18380	AT3G61200
AT3G18380	AT5G60190
AT3G18380	AT5G05690
AT3G18380	AT1G58120
AT3G18380	AT5G60700
AT3G18380	AT1G60490
AT3G18380	AT5G11900
AT3G18380	AT3G52155
AT3G18380	AT2G47770
AT3G18380	AT2G30710
AT3G18380	AT3G28210
AT3G18380	AT2G34200
AT3G18380	AT1G53330
AT3G18380	AT2G28130
AT3G18380	AT5G49970
AT3G18380	AT2G41720
AT3G18380	AT4G18520
AT3G18380	AT1G21370
AT3G18380	AT1G01770
AT3G18380	AT5G52030
AT3G18380	AT5G63770
AT3G18380	AT1G06440
AT3G18380	AT4G10030
AT3G18380	AT5G11550
AT3G18380	AT1G09157
AT3G18380	AT5G21430
AT3G18380	AT1G60560
AT3G18380	AT3G04550
AT3G18380	AT5G03910
AT3G18380	AT1G34160
AT3G18380	AT2G47450
AT1G31240	AT1G75160
AT1G31240	AT5G33320
AT1G31240	AT5G56580
AT1G31240	AT2G06210
AT1G31240	AT1G09570
AT1G31240	AT4G14080
AT1G31240	AT5G15520
AT1G31240	AT3G06170
AT1G31240	AT1G69330
AT1G31240	AT2G26660
AT1G31240	AT5G35370
AT1G31240	AT4G13270
AT1G31240	AT3G21160
AT1G31240	AT4G21110
AT1G31240	AT5G54810
AT1G31240	AT4G38070
AT1G31240	AT2G25110
AT1G31240	AT3G02090
AT1G31240	AT5G65620
AT1G31240	AT4G17215
AT1G31240	AT5G12190
AT1G31240	AT1G63050
AT1G31240	AT4G20440
AT1G31240	AT5G14950
AT1G31240	AT3G45740
AT1G31240	AT5G20650
AT1G31240	AT3G59870
AT1G31240	AT5G14470
AT1G31240	AT1G48860
AT1G31240	AT5G02140
AT1G31240	AT3G18060
AT1G31240	AT3G21820
AT1G31240	AT2G18850
AT1G31240	AT2G43560
AT1G31240	AT1G56050
AT1G31240	AT4G27120
AT1G31240	AT1G15410
AT1G31240	AT3G16760
AT1G31240	AT3G55330
AT1G31240	AT3G01720
AT1G31240	AT1G09150
AT1G31240	AT5G22370
AT1G31240	AT1G50430
AT1G31240	AT1G74970
AT1G31240	AT3G23255
AT1G31240	AT5G63310
AT1G31240	AT2G14660
AT1G31240	AT2G01755
AT5G15570	AT1G22460
AT5G15570	AT1G06050
AT5G15570	AT4G32630
AT5G15570	AT1G07620
AT5G15570	AT1G47270
AT5G15570	AT3G60500
AT5G15570	AT2G15900
AT5G15570	AT4G34090
AT5G15570	AT5G24740
AT5G15570	AT5G40480
AT5G15570	AT4G30820
AT5G15570	AT5G05660
AT5G15570	AT4G32050
AT5G15570	AT5G23110
AT5G15570	AT2G41620
AT5G15570	AT1G52260
AT5G15570	AT3G13440
AT5G15570	AT1G53200
AT5G15570	AT5G16420
AT5G15570	AT5G65960
AT5G15570	AT3G12350
AT5G15570	AT3G06200
AT5G15570	AT2G37560
AT5G15570	AT3G26750
AT5G15570	AT3G06880
AT5G15570	AT5G01400
AT5G15570	AT5G16140
AT5G15570	AT1G76400
AT5G15570	AT5G63920
AT5G15570	AT4G10760
AT5G15570	AT2G07690
AT5G15570	AT5G22010
AT5G15570	AT1G04200
AT5G15570	AT5G18830
AT5G15570	AT2G43980
AT5G15570	AT1G80190
AT5G15570	AT3G03210
AT5G15570	AT1G66345
AT5G15570	AT2G44420
AT5G15570	AT3G57190
AT5G15570	AT3G49890
AT5G15570	AT5G64860
AT5G15570	AT2G42820
AT5G15570	AT5G56310
AT1G54290	AT3G51660
AT1G54290	AT5G50180
AT1G54290	AT5G28530
AT1G54290	AT5G63710
AT1G54290	AT2G06210
AT1G54290	AT2G37880
AT1G54290	AT1G20880
AT1G54290	AT1G23440
AT1G54290	AT1G48880
AT1G54290	AT2G33410
AT1G54290	AT1G05280
AT1G54290	AT2G24765
AT1G54290	AT1G28390
AT1G54290	AT1G76760
AT1G54290	AT5G60570
AT1G54290	AT3G42670
AT1G54290	AT5G14950
AT1G54290	AT1G62820
AT1G54290	AT1G19630
AT1G54290	AT5G44550
AT1G54290	AT3G19720
AT1G54290	AT1G19370
AT1G54290	AT3G13220
AT1G54290	AT4G27120
AT1G54290	AT1G34150
AT1G54290	AT4G38225
AT1G54290	AT5G19970
AT1G54290	AT4G22290
AT1G54290	AT5G17980
AT1G68050	AT5G33320
AT1G68050	AT5G56580
AT1G68050	AT2G06210
AT1G68050	AT1G09570
AT1G68050	AT1G69330
AT1G68050	AT2G26660
AT1G68050	AT4G21110
AT1G68050	AT5G54810
AT1G68050	AT4G38070
AT1G68050	AT1G52343
AT1G68050	AT5G12190
AT1G68050	AT1G69390
AT1G68050	AT1G63050
AT1G68050	AT5G14950
AT1G68050	AT3G59870
AT1G68050	AT2G03690
AT1G68050	AT3G18060
AT1G68050	AT3G21820
AT1G68050	AT1G56050
AT1G68050	AT4G27120
AT1G68050	AT3G10915
AT1G68050	AT1G15410
AT1G68050	AT3G16760
AT1G68050	AT3G55330
AT1G68050	AT1G09150
AT1G68050	AT3G23255
AT1G68050	AT1G67035
AT2G31170	AT3G12210
AT2G31170	AT1G66080
AT5G17230	AT5G57170
AT5G17230	AT4G34930
AT5G17230	AT5G42270
AT2G34390	AT4G38220
AT2G34390	AT2G34690
AT2G34390	AT3G09380
AT2G34390	AT1G14410
AT2G34390	AT1G70980
AT2G34390	AT5G13060
AT2G34390	AT3G58580
AT2G34390	AT4G06598
AT2G34390	AT4G17260
AT2G34390	AT1G10560
AT2G34390	AT5G09720
AT2G34390	AT4G31480
AT2G34390	AT4G17600
AT2G34390	AT4G30610
AT2G34390	AT4G02940
AT2G34390	AT1G04490
AT2G34390	AT3G03490
AT2G34390	AT5G23320
AT2G34390	AT4G03080
AT2G34390	AT5G58870
AT2G34390	AT2G04550
AT2G34390	AT5G54730
AT2G34390	AT3G58740
AT2G34390	AT5G07140
AT2G34390	AT5G46570
AT2G34390	AT2G22040
AT2G34390	AT5G05970
AT2G34390	AT5G46210
AT2G34390	AT1G03900
